NEAR_FID,count,BC
1,13,958.92
2,13,1090
3,13,1051.4383561643835
4,13,1081
5,13,759
6,1,893
7,2,706.5675675675675
8,14,939.3051042639279
9,4,881.8461538461538
10,18,917.6827445652174
11,13,893
12,13,753
13,13,825
14,13,942.8
15,13,883
16,8,1490.0882352941176
17,6,1571.7857142857142
18,15,826
19,18,1232.3854386892176
20,18,1202.4591365665583
21,18,948.1297700587085
22,18,828
23,18,906.5454545454545
24,18,1130.75
25,6,1175.4285714285716
26,6,883
27,9,1142.9166666666667
28,15,1090.7606837606838
29,8,1356.9083333333333
30,13,1279
31,18,1142.0700123915735
32,18,1279.1575974120033
33,18,1140.491719484768
34,18,1001.6801969599658
35,18,973.7161549556974
36,18,1094
37,18,1235.6486486486488
38,18,1209.275
39,12,766.5
40,11,1093
41,15,1201.235294117647
42,6,1363.3
43,12,1005
44,18,824.2209302325582
45,18,831.9357142857143
46,17,1074.1030927835052
47,17,1008.3977272727273
48,17,958.9012345679013
49,19,1059.3793103448277
50,19,1029.5753424657535
51,20,833.4139474057197
52,20,914.7608974358975
53,18,894.1263572316618
54,18,871.7547579571726
55,18,987.1945943554808
56,18,926.9965206185567
57,18,1033.3939393939395
58,18,1011.5
59,15,1170.4545454545455
60,11,1363.34375
61,7,993
62,18,676.5597014925373
63,19,704.7213114754098
64,19,862.560975609756
65,19,1039.5
66,19,780.060975609756
67,19,880.2129629629629
68,18,765.7976485148515
69,20,762.30922580645165
70,17,965.021978021978
71,18,1181.3185960591131
72,18,1078.7864235421557
73,18,895.1188660477453
74,18,1009.2049523944863
75,14,739.3695652173913
76,12,690.4247306091966
77,18,966.6311389759666
78,18,1010.2307692307693
79,15,1005.5869565217391
80,12,1104.3
81,8,1114.2666666666667
82,18,1007.551282051282
83,19,892.1666666666666
84,19,766.938596491228
85,19,825.1464968152866
86,18,721.6521058000583
87,18,602.5319047619048
88,18,679.8284821903243
89,18,741.3718434343434
90,18,816.1620879120879
91,20,810.9237762237763
92,20,872.4360486322189
93,20,1066.6060150375938
94,18,993.2994322278298
95,18,836.6637921220401
96,18,983.8756613756614
97,18,1075.9860869565218
98,12,839
99,12,815.9558823529412
100,12,690.0531045751634
101,12,885.9598348348349
102,17,926.5641025641025
103,18,1060.1811764705883
104,18,997
105,8,696.5
