"","Longitude","Latitude","Hwy_Roads","Major_Roads","Res_Roads","Local_Trucks","Local_Restricted_Trucks","Commerical.Zone","Industrial.Zone","Residential.Zone","NDVI_50","NDVI_100","NDVI_250","NDVI_500","NDVI_1000","NDVI_2500","NLCD_Water_50","NLCD_DevOpen_50","NLCD_DevLow_50","NLCD_DevMed_50","NLCD_DevHigh_50","NLCD_Barren_50","NLCD_Deciduous_50","NLCD_Evergreen_50","NLCD_MixForest_50","NLCD_Shrub_50","NLCD_Herbaceous_50","NLCD_Pasture_50","NLCD_Crops_50","NLCD_WoodyWet_50","NLCD_EmergWet_50","NLCD_Water_100","NLCD_DevOpen_100","NLCD_DevLow_100","NLCD_DevMed_100","NLCD_DevHigh_100","NLCD_Barren_100","NLCD_Deciduous_100","NLCD_Evergreen_100","NLCD_MixForest_100","NLCD_Shrub_100","NLCD_Herbaceous_100","NLCD_Pasture_100","NLCD_Crops_100","NLCD_WoodyWet_100","NLCD_EmergWet_100","NLCD_Water_250","NLCD_DevOpen_250","NLCD_DevLow_250","NLCD_DevMed_250","NLCD_DevHigh_250","NLCD_Barren_250","NLCD_Deciduous_250","NLCD_Evergreen_250","NLCD_MixForest_250","NLCD_Shrub_250","NLCD_Herbaceous_250","NLCD_Pasture_250","NLCD_Crops_250","NLCD_WoodyWet_250","NLCD_EmergWet_250","NLCD_Water_500","NLCD_DevOpen_500","NLCD_DevLow_500","NLCD_DevMed_500","NLCD_DevHigh_500","NLCD_Barren_500","NLCD_Deciduous_500","NLCD_Evergreen_500","NLCD_MixForest_500","NLCD_Shrub_500","NLCD_Herbaceous_500","NLCD_Pasture_500","NLCD_Crops_500","NLCD_WoodyWet_500","NLCD_EmergWet_500","NLCD_Water_1000","NLCD_DevOpen_1000","NLCD_DevLow_1000","NLCD_DevMed_1000","NLCD_DevHigh_1000","NLCD_Barren_1000","NLCD_Deciduous_1000","NLCD_Evergreen_1000","NLCD_MixForest_1000","NLCD_Shrub_1000","NLCD_Herbaceous_1000","NLCD_Pasture_1000","NLCD_Crops_1000","NLCD_WoodyWet_1000","NLCD_EmergWet_1000","NLCD_Water_2500","NLCD_DevOpen_2500","NLCD_DevLow_2500","NLCD_DevMed_2500","NLCD_DevHigh_2500","NLCD_Barren_2500","NLCD_Deciduous_2500","NLCD_Evergreen_2500","NLCD_MixForest_2500","NLCD_Shrub_2500","NLCD_Herbaceous_2500","NLCD_Pasture_2500","NLCD_Crops_2500","NLCD_WoodyWet_2500","NLCD_EmergWet_2500","Impervious_50","Impervious_100","Impervious_250","Impervious_500","Impervious_1000","Impervious_2500","Distance_to_NPL","Distance_to_Rail","Elevation_50","Elevation_100","Elevation_250","Elevation_500","Elevation_1000","Elevation_2500","Distance_to_TRI","Exp_TRI_100","Exp_TRI_500","Exp_TRI_1000","Exp_TRI_5000","Exp_TRI_10000","Total_Road_50","Total_Road_100","Total_Road_250","Total_Road_500","Total_Road_1000","Total_Road_2500","Hwy_Road_50","Hwy_Road_100","Hwy_Road_250","Hwy_Road_500","Hwy_Road_1000","Hwy_Road_2500","Maj_Road_50","Maj_Road_100","Maj_Road_250","Major_Road_500","Major_Road_1000","Major_Road_2500","Res_Road_50","Res_Road_100","Res_Road_250","Res_Road_500","Res_Road_1000","Res_Road_2500","Pop_50","Pop_100","Pop_250","Pop_500","Pop_1000","Pop_2500","Pop_10K","MinDist2Port","MinDist2MainPort","XpsExpPort_100","XpsEXP_Port_500","XpsEXP_Port_1000","XpsEXP_Port_5000","XpsEXP_Port_10K","XpsExp_MainPort_100","XpsExp_MainPort_500","XpsEXP_MainPort_1000","XpsEXP_MainPort_5000","XpsEXP_MainPort_10K","Dist2MainAirport","Dist2Airport","RestCount_50m","RestCount_100m","RestCount_250m","RestCount_500m","RestCount_1000m","RestCount_2500m","DailyTripsCount_50m","DailyTripsCount_100m","DailyTripsCount_250m","DailyTripsCount_500m","DailyTripsCount_1000m","NEAR_FID"
"1",-122.30214,37.8221,0,1,0,1,0,0,1,0,0.05095,0.05088,0.06054,0.05725,0.02367,-0.01456,0,0,0,13.09904,86.90096,0,0,0,0,0,0,0,0,0,0,0,0,0.95847,15.97444,83.06709,0,0,0,0,0,0,0,0,0,0,0,0,4.52345,23.0632,72.41335,0,0,0,0,0,0,0,0,0,0,0,0,7.13377,28.75461,64.11162,0,0,0,0,0,0,0,0,0,0,15.5895,1.17321,6.46456,23.19071,53.1671,0,0,0,0,0,0,0,0,0.14307,0.27184,27.5703,0.88241,3.42957,23.85825,43.97572,0,0,0,0,0,0,0,0,0.0229,0.26087,87.30032,84.92891,80.75599,77.44476,64.66445,56.18947,0.00148,0.00184,3.36966,3.35317,3.38811,3.30185,2.86247,3.70484,0.00081,0,0,1e-05,100.41299,8249.76876,428.50392,1062.27652,5098.04264,16524.76502,45758.81698,253333.509,452.99104,1029.73352,2301.14526,9152.76293,25064.38972,56455.94055,0,0,510.5662,1292.22935,4359.42249,45246.56095,0,0,0,564.01662,2240.76159,72234.27768,1.61014,6.64184,43.07132,175.10301,701.01585,29768.41339,548151.1154,1.40411,1.40411,0,0.01419,0.13762,3.17312,9.73342,0,0.01394,0.11806,0.65797,0.90174,0.07963,0.07963,0,0,0,0,0,98.0000017404,0,0,645.860683353,1127.83465683,1488.16078924,1
"2",-122.28258,37.8256,0,1,0,1,0,1,0,0,0.10864,0.07995,0.09819,0.09261,0.08661,0.07254,0,0,31.62939,46.64537,21.72524,0,0,0,0,0,0,0,0,0,0,0,0,14.36552,43.25619,42.37829,0,0,0,0,0,0,0,0,0,0,0,0,3.01872,54.29882,42.68246,0,0,0,0,0,0,0,0,0,0,0,0,1.83299,43.52088,54.64613,0,0,0,0,0,0,0,0,0,0,0,0.42922,0.60091,36.76417,62.20571,0,0,0,0,0,0,0,0,0,0,7.37217,1.07256,3.32511,43.7325,44.35414,0,0,0,0,0,0,0,0,0.0229,0.12064,62.96486,74.31604,74.30901,77.53962,80.26127,69.5311,0.0012,0.00129,6.60036,6.66227,7.27988,7.2508,8.06454,11.05113,0.00114,0,0,1e-05,79.5146,7347.81813,455.39529,955.47278,4872.35828,16219.72724,58800.1076,344652.6571,0,0,0,0,0,9133.27033,412.81199,794.8099,1946.01528,3764.4896,10297.28185,60473.91089,0,122.05404,2220.22079,9447.32497,38251.41301,194305.3102,43.5627,165.9079,1066.74096,4330.05286,17223.25701,88900.10447,456815.5577,0.41118,0.41118,0,0,0.00095,1.83094,7.58153,0,0,0.00068,0.23462,0.54367,0.08654,0.08654,0,0,2.99999996194,10.0000001113,42.0000008962,328.999989894,0,0,423.485291519,1028.26887367,1935.3718032,3
"3",-122.28281,37.82416,0,0,1,0,1,0,0,1,0.1649,0.11547,0.10421,0.09594,0.08543,0.07308,0,0,0,93.56913,6.43087,0,0,0,0,0,0,0,0,0,0,0,0,3.68885,64.47474,31.83641,0,0,0,0,0,0,0,0,0,0,0,0,7.33851,55.51026,37.15123,0,0,0,0,0,0,0,0,0,0,0,0,1.83241,46.25565,51.91194,0,0,0,0,0,0,0,0,0,0,0,0.42924,0.60093,36.49725,62.47258,0,0,0,0,0,0,0,0,0,0,6.92391,1.08214,3.19504,42.9625,45.69313,0,0,0,0,0,0,0,0,0.0229,0.12039,65.49518,71.50521,71.53918,76.79964,80.13468,70.17573,0.00127,0.00127,6.00692,6.06393,6.20481,6.56094,7.43491,10.64975,0.00133,0,0,1e-05,74.38018,7102.32209,322.34218,836.99287,4312.11908,15102.46314,59175.91747,361928.5097,0,0,0,0,0,61604.87601,174.6606,347.14891,1408.50488,3678.34388,12267.2894,65988.1467,113.9296,434.09057,2745.95251,10814.41169,37165.96681,158675.5827,39.01695,160.94492,1039.14937,3628.5993,12919.4968,66580.35142,523715.5904,0.41751,0.41751,0,0,0.00113,1.94791,7.78499,0,0,0.00076,0.23984,0.54895,0.0874,0.0874,0,1.00000005402,3.9999998304,10.0000001113,40.000000445,350.000007475,0,34.8954483972,173.422840855,872.830667849,1959.11330176,4
"4",-122.2805,37.82364,0,0,1,0,0,0,0,1,0.07981,0.08567,0.1012,0.0983,0.09008,0.08102,0,0,0,32.37179,67.62821,0,0,0,0,0,0,0,0,0,0,0,0,0,45.33865,54.66135,0,0,0,0,0,0,0,0,0,0,0,0,2.07564,63.26245,34.66191,0,0,0,0,0,0,0,0,0,0,0,0.44872,1.83305,50.1448,47.57343,0,0,0,0,0,0,0,0,0,0,0,0.33937,0.7296,41.16768,57.76335,0,0,0,0,0,0,0,0,0,0,5.13976,1.27585,3.24594,44.24132,45.99123,0,0,0,0,0,0,0,0,0.00051,0.10526,78.70833,76.40239,71.50592,75.28657,79.00703,71.35365,0.00125,0.001,7.84351,7.84992,7.76989,7.98019,8.69117,11.78884,0.00117,0,0,0,68.27545,6814.22486,116.93283,455.41418,5152.35779,22523.43458,75709.44819,404183.7933,0,0,905.5599,5363.76258,13071.17094,74031.10372,90.44996,197.85589,1656.77486,3731.43664,15597.39764,92872.22106,18.35583,245.3139,1686.94719,6281.18321,27482.13529,149803.7,40.61776,167.54826,857.04432,3132.23638,11438.50744,73404.5856,540157.5631,0.38638,0.38638,0,0,0.00078,1.90884,7.68141,0,0,0.00042,0.21363,0.51827,0.0889,0.0889,0,1.00000005402,2.99999996194,10.0000001113,42.9999996956,387.999983187,44.3350174194,97.7979414528,120.149801247,1013.83696446,2064.46531212,5
"5",-122.28907,37.82317,0,1,0,0,0,0,0,0,0.10085,0.11022,0.08412,0.07845,0.07985,0.05008,0,0,0,61.53846,38.46154,0,0,0,0,0,0,0,0,0,0,0,0,0,47.09163,52.90837,0,0,0,0,0,0,0,0,0,0,0,0,0,32.00815,67.99185,0,0,0,0,0,0,0,0,0,0,0,0,0.64286,31.28381,68.07332,0,0,0,0,0,0,0,0,0,0,0.0731,1.7876,3.46631,27.83063,66.56731,0,0,0,0,0,0,0,0,0,0.27502,11.79771,0.8914,3.24932,36.21882,47.55901,0,0,0,0,0,0,0,0,0.0229,0.26086,78.02885,77.35139,82.24274,81.90503,79.21765,67.43329,0.0014,0.00361,3.17001,3.1389,3.21737,3.55991,4.45745,7.72077,0.00198,0,0,1e-05,82.87863,7474.25146,332.65952,729.55853,3802.9105,16289.13245,63591.69622,368908.5854,0,0,0,2394.21933,12824.29064,83305.82039,148.76036,344.38245,914.79167,3384.74113,11326.95891,84109.37651,147.74187,266.48884,1399.81801,6114.6588,19933.68784,109854.5586,1.61014,6.64184,93.74681,1019.89956,5724.82669,53448.09505,540645.8515,0.54509,0.54509,0,2e-05,0.00505,2.2807,8.41236,0,2e-05,0.00407,0.33566,0.64755,0.08489,0.08489,0,1.00000005402,0.9999999576,2.99999996214,18.9999999985,245.000008808,0,0,0,342.08618892,1701.74813959,6
"6",-122.27624,37.80917,1,0,0,1,0,1,0,0,0.0874,0.09781,0.09909,0.0823,0.08427,0.06927,0,0,0,55.19481,44.80519,0,0,0,0,0,0,0,0,0,0,0,0,0,54.11671,45.88329,0,0,0,0,0,0,0,0,0,0,0,0.61162,0,51.8476,47.54077,0,0,0,0,0,0,0,0,0,0,0,0.91621,0,43.46567,55.61812,0,0,0,0,0,0,0,0,0,0,0,1.60171,1.28932,39.37823,57.73074,0,0,0,0,0,0,0,0,0,0,6.7008,2.76835,2.62901,35.14525,52.52318,0,0,0,0,0,0,0,0,0.14188,0,74.94481,76.43245,75.06103,77.6338,78.05028,70.9581,0.00192,0.00072,6.11156,7.72169,8.94355,8.98629,8.4488,8.34393,0.00067,0,0,0,31.98496,4395.47521,282.95643,755.26503,5951.39835,20106.10425,60941.04729,310179.6283,0,0,976.55225,6288.08126,13986.00432,32964.59623,132.28847,308.35827,850.34324,2910.01952,15544.69895,76930.02541,36.54734,176.18874,1783.02658,4541.95259,11608.07447,112212.6957,5.90971,24.37756,266.21717,2053.19793,9335.32825,62846.1821,541146.9435,0.6217,0.30939,0,0.00014,0.02611,3.5124,9.68116,0,0,6e-05,0.14543,0.4288,0.10354,0.10354,0,0,0.9999999576,16.9999995464,185.999999076,440.000006335,29.716737122,30.1556897878,30.279294077,1266.30020413,4109.65512201,7
"7",-122.277,37.80776,1,0,0,1,0,1,0,0,0.13126,0.12022,0.09924,0.0903,0.08481,0.06682,0,0,0,96.42857,3.57143,0,0,0,0,0,0,0,0,0,0,0,0,0,74.77982,25.22018,0,0,0,0,0,0,0,0,0,0,0,0.4458,0,60.71838,38.83582,0,0,0,0,0,0,0,0,0,0,0,0.91632,0.81133,53.05759,45.21476,0,0,0,0,0,0,0,0,0,0,0,1.49047,1.14389,38.6108,58.75484,0,0,0,0,0,0,0,0,0,0,7.37887,2.76261,2.94644,34.18564,52.49304,0,0,0,0,0,0,0,0,0.14187,0,61.78896,68.88151,72.43676,74.26398,78.35466,70.40466,0.00208,0.00082,6.06008,6.91979,9.06184,9.65705,8.47979,7.61478,0.00064,0,0,0,30.75948,4272.58221,97.91276,860.43902,5622.92581,21782.80933,69579.2715,382316.2023,0,116.9056,1830.1026,3909.55164,7595.76395,74452.72315,0,173.40873,829.9582,7106.37663,26402.45729,102847.4637,97.3737,447.47855,1872.28435,6462.4043,22121.64893,115053.8878,28.20674,116.35281,754.53034,4007.78347,15870.46037,74849.39785,549567.9942,0.69484,0.30951,0,0.00037,0.04311,3.81328,10.01634,0,0,6e-05,0.14561,0.42961,0.10423,0.10423,0,0,1.9999999152,22.0000006737,191.00000163,422.000006575,30.2647181464,30.2789985675,378.161982822,1422.07949223,4448.50234008,8
"8",-122.28858,37.81806,0,1,0,1,0,0,1,0,0.03859,0.08062,0.06351,0.0684,0.08871,0.05567,0,0,0,4.19355,95.80645,0,0,0,0,0,0,0,0,0,0,0,0,0,22.27564,77.72436,0,0,0,0,0,0,0,0,0,0,0,0,0,14.40041,85.59959,0,0,0,0,0,0,0,0,0,0,0,1.42489,0.19083,12.73496,85.64931,0,0,0,0,0,0,0,0,0,0,0,1.86983,2.16557,34.95989,61.00471,0,0,0,0,0,0,0,0,0,0,8.02766,0.94644,2.68525,32.02433,56.07274,0,0,0,0,0,0,0,0,0.0229,0.22069,88.59032,83.41506,86.80655,86.11281,78.39877,72.15998,0.00183,0.00178,2.87931,3.07865,3.21687,3.31974,4.26939,7.04786,0.0116,0,0,0,62.10418,6457.01471,299.71188,729.22162,3247.64475,13273.8171,64728.61325,336206.3955,0,0,0,0,5097.64033,72628.32334,211.20125,418.30575,1260.03993,3965.90505,18920.49695,85430.5467,105.37873,313.86198,1906.09091,7759.5956,26691.1382,90053.80159,21.79379,89.89938,623.44454,2943.17297,11103.6126,46425.43666,545676.9441,0.52889,0.52889,0,1e-05,0.00577,2.77234,9.15639,0,1e-05,0.00344,0.32462,0.636,0.08848,0.08848,0,0,0.9999999576,3.9999998304,21.0000004497,344.000007549,134.179707597,145.645202817,457.608780282,542.5343815,1138.18734187,9
"9",-122.28786,37.81897,0,1,0,1,0,0,1,0,0.02229,0.03567,0.06108,0.06928,0.08732,0.05798,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64103,99.35897,0,0,0,0,0,0,0,0,0,0,0,0,0,13.38091,86.61909,0,0,0,0,0,0,0,0,0,0,0,0,0,15.11913,84.88087,0,0,0,0,0,0,0,0,0,0,0,1.86011,1.96742,34.52651,61.64596,0,0,0,0,0,0,0,0,0,0,7.95777,1.00646,2.7537,33.29265,54.75716,0,0,0,0,0,0,0,0,0.0229,0.20938,88.59477,90.67628,87.18173,86.72427,78.66477,71.82999,0.00172,0.00178,3.21583,3.26203,3.29979,3.39452,4.40363,7.41305,0.03535,0,0,0,64.03819,6560.48365,260.6268,648.5791,4047.41646,13967.63658,56848.04247,361279.9211,0,0,0,0,4959.70147,82003.5541,196.98706,402.24655,1686.3305,4428.98147,13797.49602,89244.01613,35.32099,122.8025,1387.03646,5362.79231,27021.58414,102114.4263,24.50992,100.08485,552.97064,1898.75793,8586.53746,53700.5858,543590.3257,0.5162,0.5162,0,1e-05,0.00482,2.64952,8.96654,0,1e-05,0.00299,0.31567,0.62724,0.08828,0.08828,0,0,0.9999999576,3.9999998304,23.9999996971,339.000013575,77.4291642526,84.8831040329,134.04342683,544.432991694,1116.62388256,10
"10",-122.28722,37.81978,0,1,0,1,0,0,1,0,0.04182,0.03445,0.05621,0.07489,0.08593,0.05982,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,10.20122,89.79878,0,0,0,0,0,0,0,0,0,0,0,0,0.47731,20.56259,78.9601,0,0,0,0,0,0,0,0,0,0,0,1.86002,1.84571,33.35638,62.93788,0,0,0,0,0,0,0,0,0,0,7.90701,1.04845,2.83552,34.54213,53.44365,0,0,0,0,0,0,0,0,0.0229,0.20036,90.81494,91.17576,88.49274,84.69016,79.05311,71.50136,0.00165,0.00176,3.09933,3.31459,3.38966,3.52052,4.56746,7.72493,0.00846,0,0,0,65.58985,6642.50959,234.8786,1090.71001,7224.91164,21871.49217,71989.83878,362038.1176,0,0,0,5096.54138,17673.3924,73846.96844,181.97137,475.15729,1404.98955,2927.10172,11380.05376,73196.28012,20.9599,122.6337,1066.60705,4331.65593,20197.47352,131323.1136,21.27303,85.2934,421.58193,1571.9846,7325.89567,56996.90322,530232.1979,0.50567,0.50567,0,1e-05,0.00416,2.55463,8.81727,0,1e-05,0.00265,0.3081,0.6198,0.08812,0.08812,0,0,1.9999999152,3.9999998304,26.9999989445,338.000007622,121.522156505,118.833973144,117.147109224,488.663792523,1296.03662394,11
